Brand;Name;Country;Stars
Westbrae;Miso Ramen;USA;0,5
Wai Wai;Tom Yum Chili Flavor;Thailand;2
Wai Wai;Tom Yum Shrimp;Thailand;2
Wai Wai;Oriental Style Instant Noodles;Thailand;1
Vifon;"Hu Tiu Nam Vang [""Phnom Penh"" style] Asian Style Instant Rice Noodles";Vietnam;3,5
Vifon;Nam Vang;Vietnam;2,5
Ve Wong;Mushroom Pork;Vietnam;1
Tung-I;Chinese Beef Instant Rice Noodle;Taiwan;3
Sutah;Cup Noodle;South Korea;2
Smack;Vegetable Beef;USA;1,5
Six Fortune;Chicken Flavor Instant Soup Noodle;South Korea;2
Sapporo Ichiban;Shrimp Flavor;Japan;2,5
Sapporo Ichiban;Chow Mein;Japan;5
Samyang;Hot;South Korea;3,5
Samyang;Pojangmacha U-dong;South Korea;2,5
Samyang;Kalgug-Su (Spicy);South Korea;3,5
Quickchow;Pancit Palabok;Philippines;2,5
Ottogi;Jin Ramen (Hot Taste);South Korea;3,5
Nongshim;Shin Ramyun;South Korea;4
Nongshim;Neoguri (Seafood'n'Spicy);South Korea;3,5
Nongshim;Champong Oriental Noodles;South Korea;4
Nongshim;Ansungtangmyun Noodle Soup;South Korea;3,75
Nissin;Top Ramen Creamy Chicken;USA;4,5
Nissin;Demae Ramen Spicy Seafood With Chili Pepper;Japan;2
Nissin;Demae Ramen Spicy Flavor;Japan;3
Nissin;Soba Noodles With Mayo Mustard Squirt;Japan;4
Nissin;Demae Ramen Curry Flavor;Japan;4
Nissin;Chikin Ramen;Japan;5
Mee Jang;Tom Yum Shrimp;Thailand;3,5
Myojo;Special Duck;Japan;1
Myojo;Ippeichan Yakisoba;Japan;4
Koka;Mi Hai Cua Crab Flavor;Singapore;3,5
Koka;Mi Hai Tom Prawn;Singapore;3,75
Maruchan;Ramen Noodle Soup Shrimp;USA;2
Mama;Chand Clear Soup;Thailand;3
Lucky Me!;Itnok;Philippines;3
Lucky Me!;Pancit Canton Hot Chili Flavor;Philippines;3
Lucky Me!;Pancit Canton Citrus Flavor;Philippines;3
Lucky Me!;Supreme Bulalo Flavor;Philippines;3
Lucky Me!;Pancit Canton Chili Mansi;Philippines;3
Little Cook;Pork Mustard Stem;Thailand;0,5
Ve Wong;Kung-Fu Chicken Flavor;Vietnam;2,75
Kim Ve Wong;Jaopai Series: Vegetarian Instant Noodles;Taiwan;0
Indomie;Special Chicken;Indonesia;4,25
Indomie;Mi Goreng Sate;Indonesia;5
Indomie;Mi Goreng Jumbo Meatball;Indonesia;3
Indomie;Mi Goreng Jumbo Barbecue Chicken;Indonesia;5
Indomie;Shrimp Flavor;Indonesia;3
Indomie;Mi Goreng Pedas Hot;Indonesia;4,5
Indomie;Mi Goreng;Indonesia;5
Indomie;Curly Noodles With Grilled Chicken;Indonesia;5
Indomie;Chicken Curry;Indonesia;4
Indomie;Chicken;Indonesia;2
Hua Feng Noodle Expert;Spicy Seafood Flavor;China;3
Hua Feng Noodle Expert;Favoury Pork Flavor;China;1
Doll;Instant Noodles With Sesame Oil & Soup Base;Hong Kong;1
Doll;Instant Fried Noodles With Chili Sauce;Hong Kong;3
Ve Wong;A-One Bun Tom Shrimp;Taiwan;3
Maggi;Chinese Noodles Lemon Chicken Flavor;India;3,5
Maggi;Vegetable Atta Noodles Masala;India;2
Maggi;2 Minute Noodles Curry;India;2,5
Maggi;Rice Noodle Mania Lemon Masala;India;1,5
Nissin;Souper Meal Chicken Flavor With Vegetable Medley;Japan;3
Sapporo Ichiban;Chicken Flavor;USA;3,5
Nissin;Top Ramen Oriental;USA;2,5
Maruchan;Ramen Noodle Soup Pork;USA;4
Maruchan;Ramen Noodle Soup Lime Chili Shrimp;USA;2
Wei Lih;Jah Jan Mien Instant Noodle With Fried Soybean Paste;Taiwan;4
Baijia;Spicy Fei- Chang Sweet Potato Noodle;China;1,75
Nissin;Demae Ramen XO Sauce Seafood;Japan;4
Nissin;Demae Ramen Satay;Japan;2,5
Nissin;Demae Ramen Tonkatsu Artificial Pork;Japan;3,5
Nissin;Demae Ramen Five Spices Artificial Beef;Japan;3,5
Nissin;Demae Ramen Shoyu;Japan;4
Indomie;Mi Goreng Rendang;Indonesia;4,5
Indomie;Meatball Flavor;Indonesia;2,5
Nissin;Demae Ramen Prawn;Japan;3,25
Nissin;Demae Ramen Seafood;Japan;2,5
Sapporo Ichiban;Kitsune Udon;Japan;3,25
Unif / Tung-I;Artificial Chicken;Taiwan;3,5
Unif / Tung-I;Artificial Spicy Beef;Taiwan;3,5
Nissin;Demae Ramen Miso;Japan;2,75
Nissin;Demae Ramen Spicy Flavor;Japan;2
Samyang;Kalgug-Su Assorted Clam;South Korea;1,8
Nissin;Demae Ramen Sesame;Japan;3,75
Unif / Tung-I;Onion Flavor;Taiwan;3,65
Wai Wai;Tom Yum Shrimp Cream Soup;Thailand;2,75
Paldo;South Korean Noodle Chicken;South Korea;3,25
Unif;100 Artificial Stewed Pork Chop;Taiwan;3,2
Long Kow;Crystal Noodle Six Kinds Of Mushrooms;China;2,3
Binh Tay;Mi Chay Mushroom;Vietnam;2,75
Fashion Food;Tom Yum Seafood Creamy;Thailand;2
Payless;Xtra Big Original Pancit Canton;Philippines;4,5
Mama;Artificial Chicken;Thailand;2,5
Wei Lih;Artificial Beef Flavor;Taiwan;1
Saigon Ve Wong;Kung Fu Artificial Pork Flavor;Vietnam;3,75
Saigon Ve Wong;Kung Fu Mi Tom Chua Sour Shrimp;Vietnam;2,5
Unif / Tung-I;Chah Chiang;Taiwan;2,5
Ve Wong;Kung Fu Artificial Onion;Taiwan;2,75
Unif / Tung-I;Artificial Chinese Beef;Taiwan;2,85
Ve Wong;Artificial Sesame Chicken;Taiwan;4,25
Indomie;Soto Mie;Indonesia;1,5
Ve Wong;Vegetarian Flavor;Taiwan;3
Maruchan;Ramen Noodle Soup Chicken;USA;2
Indomie;Special Fried Curly Noodle;Indonesia;5
GreeNoodle;Tom Yum;Thailand;0,5
Ottogi;Pow Crunch Teriyaki;South Korea;1,1
Teriyaki Time;Ramen;USA;2
Mama;Pad Thai;Thailand;3,1
Lucky Me!;Artificial Chicken;Philippines;1,5
Ottogi;Odongtongmyon Seafood Spicy;South Korea;3,25
Ottogi;Jiajang Noodle;South Korea;3,75
Nongshim;Hooroorook ;South Korea;4
Samyang;Kimchi;South Korea;2,9
Ottogi;Miso Ramyun;South Korea;2,8
Mama;Nam Vang;Thailand;3,6
Ottogi;Ramyonsari;South Korea;4
Paldo;Bibim Men;South Korea;3,75
Ve Wong;Artificial Pork & Chicken;Taiwan;3,4
Samyang;Beef;South Korea;4
Ottogi;Bekse Curry;South Korea;4
Doll;Shrimp Wonton;Hong Kong;4
Wai Wai;Minced Pork Soeng Kreung;Thailand;3,7
Nissin;Yakisoba With Mayonnaise/Mustard Packet;Japan;5
Shirakiku;Japanese Style Tokusen Karami;Japan;3
Mama;Tom Yam Koong Rice Vermicelli;Thailand;1,5
Vifon;Mi Chay Vegetarian;Vietnam;2,8
Mama;Artificial PA-LO Duck;Thailand;0,1
Nongshim;Mupama Tang Myun;South Korea;3,5
Sapporo Ichiban;Miso Soybean Paste;Japan;3,5
Unif;100 Artificial Shallot Chicken;Taiwan;3,25
Ve Wong;Artificial Peppered Beef;Taiwan;3,5
Baijia;Hot & Sour Rice Noodle;China;0
Global Inspiration;Gyeong-Gi-Do Rice;South Korea;2,25
Unif / Tung-I;Fresh Shrimp;Taiwan;3,25
Mama;Shrimp Creamy Tom Yum;Thailand;5
Nissin;Bowl Noodles Rich & Savory Chicken;USA;1,75
Unif;100 Furong Shrimp;Taiwan;3
Kamfen;Noodle King Beef;China;1,75
Mama;Mi Goreng;Thailand;5
Six Fortune;Seafood Flavor;South Korea;2,5
Nissin;Chow Mein Teriyaki Beef;USA;4,5
Mama;Mamy Chand Clear Soup;Thailand;2,75
Nongshim;Kimchi Ramyun;South Korea;3,5
Sakurai;Vegetarian Flavor;Japan;3,5
Mama;Pho Bo;Thailand;2,5
Higashi;Nagasaki Sara Udon;Japan;5
Myojo;Okinawa Soba;Japan;3,75
Maruchan;Akai Kitsune Udon;Japan;4
Chorip Dong;Jjambbong Hot Spicy Seafood;South Korea;4,25
Shirakiku;Japanese Style Tokusen Miso;Japan;3
Wu Mu;Steamed Noodle Garlic & Sesame Oil;Taiwan;4,5
Sapporo Ichiban;Shrimp Flavor;USA;1,75
Nissin;Creamy Chicken;USA;1,75
Lucky Me!;Pancit Canton;Philippines;4,75
Maruchan;Instant Lunch Cajun Style With chili Piquin Shrimp;USA;3
Nissin;Sotanghon;Philippines;2
Mama;Jok Cup Porridge Artificial Pork;Thailand;2,5
Mama;Hot & Spicy;Thailand;1,75
Myojo;Ramen Desse Soy Sauce;Japan;1,5
Paldo;Green Tea Chlorella;South Korea;0
Myojo;Chukazanmai Oriental;Japan;3,75
Vifon;Asian Style Instant Noodles Chicken;Vietnam;3,5
Unif / Tung-I;Artificial Beef Flavor;Taiwan;3,75
Doll;Sesame Oil;Hong Kong;3,5
Koyo;Garlic Pepper;USA;3,25
Wai Wai;Crab Instant Rice Vermicelli;Thailand;2,5
JFC;Japanese Style Noodle Fresh Udon;Japan;3,75
Samyang;Seafood Party;South Korea;2,25
Myojo;Chukazanmai Soybean Paste;Japan;3,5
Samyang;Japanese Seafood Flavor Udon;South Korea;3,75
Mama;Flat Noodle Tom Yum;Thailand;3,75
Unif / Tung-I;Instant Bean Vermicelli Shrimp;Taiwan;1,5
Lucky Me!;Sotanghon Artificial Chicken;Philippines;0,25
Samyang;Cold Ramen With Ponytail Radish;South Korea;3
Paldo;Dosirac Pork;South Korea;4,125
Vifon;Hu Tieu Bo Kho An Lien Beef;Vietnam;3,75
Mama;Oriental Style Clear Soup;Thailand;2
Mama;Kimchi;Thailand;3
Myojo;Hyobanya No Yakisoba Sauce Flavor;Japan;4,75
Kamfen;Noodle King Thin Wonton;China;2
Myojo;Chukazanmai Soy Sauce chili Oil;Japan;3,25
Nissin;Bowl Noodles Hot & Spicy Chicken;USA;2
Myojo;Chukazanmai Soy Sauce;Japan;3,75
Shirakiku;Sanukiya Udon;Japan;3,75
